,State,County,GroceryStores,SupercentersClubStores,ConvenienceStores,SpecializedFoodStores,FastFoodRestaurants,FullServiceRestaurants
2355,SC,Richland,56,6,169,22,297,250
2356,SC,Saluda,3,0,10,1,3,8
2357,SC,Spartanburg,43,6,160,14,198,201
2358,SC,Sumter,15,1,77,7,60,52
2359,SC,Union,8,0,26,0,13,16
2360,SC,Williamsburg,9,0,24,2,11,12
2361,SC,York,37,4,111,8,162,129
2362,SD,Aurora,2,0,1,1,2,4
2363,SD,Beadle,4,1,16,1,11,14
2364,SD,Bennett,2,0,2,1,1,1
2365,SD,Bon Homme,3,0,5,0,2,4
2366,SD,Brookings,1,1,19,3,21,24
2367,SD,Brown,7,1,17,6,31,22
2368,SD,Brule,2,0,9,0,7,5
2369,SD,Buffalo,0,0,1,0,0,0
2370,SD,Butte,4,0,6,2,4,9
2371,SD,Campbell,0,0,1,0,0,4
2372,SD,Charles Mix,5,0,13,1,6,6
2373,SD,Clark,2,0,2,1,1,2
2374,SD,Clay,2,1,7,0,7,12
2375,SD,Codington,4,1,19,4,23,33
2376,SD,Corson,1,0,1,0,1,2
2377,SD,Custer,3,0,6,1,6,13
2378,SD,Davison,3,1,17,4,16,20
2379,SD,Day,2,0,3,0,3,6
2380,SD,Deuel,3,0,3,0,2,6
2381,SD,Dewey,2,0,6,0,1,3
2382,SD,Douglas,2,0,1,1,0,6
2383,SD,Edmunds,2,0,3,1,0,7
2384,SD,Fall River,3,0,8,0,9,11
2385,SD,Faulk,1,0,1,0,0,4
2386,SD,Grant,3,0,4,0,6,8
2387,SD,Gregory,4,0,5,0,1,8
2388,SD,Haakon,1,0,5,0,2,4
2389,SD,Hamlin,3,0,5,1,1,1
2390,SD,Hand,1,0,2,1,2,2
2391,SD,Hanson,1,0,1,1,0,1
2392,SD,Harding,1,0,2,0,0,0
2393,SD,Hughes,3,1,16,3,12,16
2394,SD,Hutchinson,5,0,6,1,2,8
2395,SD,Hyde,1,0,3,0,0,0
2396,SD,Jackson,2,0,4,0,0,4
2397,SD,Jerauld,1,0,1,1,0,3
2398,SD,Jones,1,0,3,0,2,3
2399,SD,Kingsbury,5,0,3,0,1,5
2400,SD,Lake,1,0,10,0,5,16
2401,SD,Lawrence,5,1,13,3,25,28
2402,SD,Lincoln,5,0,19,8,19,15
2403,SD,Lyman,4,0,4,0,1,3
2404,SD,McCook,5,0,5,0,1,9
2405,SD,McPherson,2,0,3,1,0,2
2406,SD,Marshall,3,0,3,0,1,6
2407,SD,Meade,5,0,13,2,8,20
2408,SD,Mellette,2,0,3,0,1,0
2409,SD,Miner,2,0,1,0,2,1
2410,SD,Minnehaha,23,3,89,15,115,119
2411,SD,Moody,1,0,5,0,1,7
2412,SD,Pennington,23,2,54,4,84,91
2413,SD,Perkins,1,0,4,0,1,5
2414,SD,Potter,3,0,4,0,1,2
2415,SD,Roberts,4,0,7,0,7,10
2416,SD,Sanborn,1,0,3,0,1,2
2417,SD,Shannon,2,0,7,0,2,3
2418,SD,Spink,2,0,4,1,2,6
2419,SD,Stanley,1,0,2,0,1,5
2420,SD,Sully,1,0,1,1,0,5
2421,SD,Todd,3,0,6,0,1,0
2422,SD,Tripp,3,0,5,1,4,7
2423,SD,Turner,3,0,7,0,2,8
2424,SD,Union,3,0,14,0,6,12
2425,SD,Walworth,3,0,5,3,7,7
2426,SD,Yankton,1,1,18,2,17,21
2427,SD,Ziebach,1,0,0,0,0,1
2428,TN,Anderson,14,2,37,4,60,39
2429,TN,Bedford,12,1,28,1,24,20
2430,TN,Benton,4,1,13,0,7,13
2431,TN,Bledsoe,2,0,2,0,1,3
2432,TN,Blount,16,2,68,7,69,74
2433,TN,Bradley,16,2,63,2,76,53
2434,TN,Campbell,11,1,27,0,26,12
2435,TN,Cannon,3,0,7,0,5,5
2436,TN,Carroll,7,1,18,0,14,15
2437,TN,Carter,8,1,24,2,28,19
2438,TN,Cheatham,5,1,18,0,18,18
2439,TN,Chester,5,0,8,0,11,7
2440,TN,Claiborne,6,0,10,2,15,7
2441,TN,Clay,2,0,5,0,3,4
2442,TN,Cocke,7,1,32,2,20,28
2443,TN,Coffee,10,2,43,1,34,50
2444,TN,Crockett,5,0,12,0,4,0
2445,TN,Cumberland,9,1,46,3,32,35
2446,TN,Davidson,132,9,320,28,574,543
2447,TN,Decatur,4,0,11,0,7,13
2448,TN,DeKalb,6,1,8,1,7,14
2449,TN,Dickson,9,1,37,1,33,37
2450,TN,Dyer,9,1,24,1,26,22
2451,TN,Fayette,5,1,21,1,17,16
2452,TN,Fentress,7,1,8,0,8,8
2453,TN,Franklin,8,1,31,0,16,17
2454,TN,Gibson,14,2,37,1,31,27
2455,TN,Giles,5,1,24,0,19,15
2456,TN,Grainger,4,0,13,1,5,4
2457,TN,Greene,12,1,48,4,44,36
2458,TN,Grundy,6,0,12,0,5,4
2459,TN,Hamblen,12,1,40,3,56,35
2460,TN,Hamilton,65,8,184,23,297,263
2461,TN,Hancock,1,0,5,0,3,0
2462,TN,Hardeman,6,1,22,0,8,13
2463,TN,Hardin,8,1,15,0,14,27
2464,TN,Hawkins,9,1,26,1,34,20
2465,TN,Haywood,4,1,13,1,13,9
2466,TN,Henderson,5,1,23,1,15,16
2467,TN,Henry,6,1,22,1,21,23
2468,TN,Hickman,6,0,11,0,6,14
2469,TN,Houston,2,0,5,0,5,7
2470,TN,Humphreys,4,1,14,0,11,21
2471,TN,Jackson,3,0,6,0,2,4
2472,TN,Jefferson,5,1,26,0,29,24
2473,TN,Johnson,4,0,7,0,9,7
2474,TN,Knox,73,8,210,29,355,309
2475,TN,Lake,1,0,3,0,2,5
2476,TN,Lauderdale,8,1,19,0,9,10
2477,TN,Lawrence,6,1,37,2,22,16
2478,TN,Lewis,5,1,10,0,8,6
2479,TN,Lincoln,6,1,25,0,17,17
2480,TN,Loudon,8,1,33,0,30,29
2481,TN,McMinn,6,1,41,2,38,26
2482,TN,McNairy,3,1,17,2,12,16
2483,TN,Macon,6,1,8,0,10,12
2484,TN,Madison,17,3,64,4,82,74
2485,TN,Marion,4,1,18,1,16,23
2486,TN,Marshall,6,1,33,1,18,12
2487,TN,Maury,16,1,51,2,59,57
2488,TN,Meigs,4,0,11,0,1,5
2489,TN,Monroe,8,1,31,2,28,26
2490,TN,Montgomery,16,4,65,6,113,96
2491,TN,Moore,0,0,2,0,1,5
2492,TN,Morgan,5,0,10,0,3,5
2493,TN,Obion,4,1,17,0,22,24
2494,TN,Overton,7,0,8,0,11,12
2495,TN,Perry,4,0,6,0,4,0
2496,TN,Pickett,2,0,5,0,3,3
2497,TN,Polk,2,0,11,0,7,6
2498,TN,Putnam,17,3,49,2,47,60
2499,TN,Rhea,7,1,19,1,21,14
2500,TN,Roane,7,1,33,2,31,22
2501,TN,Robertson,9,2,34,2,34,29
2502,TN,Rutherford,33,4,101,6,171,161
2503,TN,Scott,4,1,11,0,16,3
2504,TN,Sequatchie,0,1,11,0,6,8
2505,TN,Sevier,24,1,75,17,89,143
2506,TN,Shelby,170,14,419,47,674,573
2507,TN,Smith,4,0,13,0,8,10
2508,TN,Stewart,4,0,9,0,5,6
2509,TN,Sullivan,18,4,81,4,150,92
2510,TN,Sumner,27,2,76,7,90,97
2511,TN,Tipton,8,1,31,0,22,24
2512,TN,Trousdale,2,0,7,0,2,5
2513,TN,Unicoi,3,1,9,0,13,10
2514,TN,Union,2,0,11,0,5,4
2515,TN,Van Buren,0,0,3,0,0,1
2516,TN,Warren,11,1,25,0,23,21
2517,TN,Washington,22,4,56,7,108,94
2518,TN,Wayne,6,0,13,0,3,10
2519,TN,Weakley,7,1,17,2,20,20
2520,TN,White,4,1,19,1,14,10
2521,TN,Williamson,32,3,56,13,147,132
2522,TN,Wilson,20,2,48,4,73,68
2523,TX,Anderson,5,1,32,0,19,20
2524,TX,Andrews,1,0,6,0,9,10
2525,TX,Angelina,10,2,40,7,62,37
2526,TX,Aransas,2,1,16,5,12,30
2527,TX,Archer,0,0,7,0,3,2
2528,TX,Armstrong,1,0,1,0,2,0
2529,TX,Atascosa,5,1,26,2,22,27
2530,TX,Austin,4,1,16,2,17,11
2531,TX,Bailey,2,0,5,0,3,3
2532,TX,Bandera,2,0,11,1,7,18
2533,TX,Bastrop,11,1,37,3,31,45
2534,TX,Baylor,1,0,5,0,4,4
2535,TX,Bee,1,1,17,1,15,13
2536,TX,Bell,26,5,161,16,201,152
2537,TX,Bexar,160,24,685,79,1211,1128
2538,TX,Blanco,3,0,8,0,8,14
2539,TX,Borden,0,0,1,0,0,0
2540,TX,Bosque,4,0,11,1,5,7
2541,TX,Bowie,13,3,48,7,84,44
2542,TX,Brazoria,30,7,151,9,164,154
2543,TX,Brazos,21,2,101,8,154,113
2544,TX,Brewster,7,0,5,0,8,12
2545,TX,Briscoe,1,0,2,0,0,2
2546,TX,Brooks,1,0,3,1,7,9
2547,TX,Brown,7,1,34,3,32,25
2548,TX,Burleson,5,0,15,0,9,14
2549,TX,Burnet,4,1,29,4,31,31
2550,TX,Caldwell,3,0,19,0,21,15
2551,TX,Calhoun,6,1,13,0,11,22
2552,TX,Callahan,2,0,11,1,9,7
2553,TX,Cameron,48,7,162,24,208,239
2554,TX,Camp,2,0,6,1,5,6
2555,TX,Carson,1,0,5,2,4,3
2556,TX,Cass,6,1,15,0,13,14
2557,TX,Castro,2,0,6,0,6,6
2558,TX,Chambers,7,0,26,1,16,11
2559,TX,Cherokee,6,1,23,1,32,20
2560,TX,Childress,1,1,6,0,5,10
2561,TX,Clay,2,0,4,0,4,2
2562,TX,Cochran,1,0,2,0,2,2
2563,TX,Coke,1,0,5,0,0,4
2564,TX,Coleman,2,0,9,0,7,10
2565,TX,Collin,83,20,276,34,553,522
2566,TX,Collingsworth,1,0,3,0,5,2
2567,TX,Colorado,6,0,20,2,15,16
2568,TX,Comal,7,1,54,1,69,90
2569,TX,Comanche,3,0,9,1,6,9
2570,TX,Concho,1,0,5,1,2,2
2571,TX,Cooke,6,1,31,4,16,28
2572,TX,Coryell,4,2,23,1,35,26
2573,TX,Cottle,1,0,3,0,2,4
2574,TX,Crane,1,0,4,0,0,4
2575,TX,Crockett,4,0,6,0,6,5
2576,TX,Crosby,3,0,5,0,4,1
2577,TX,Culberson,1,0,4,0,3,3
2578,TX,Dallam,0,0,3,0,6,9
2579,TX,Dallas,360,33,965,117,1837,1554
2580,TX,Dawson,2,0,5,0,13,7
2581,TX,Deaf Smith,2,1,13,1,12,9
2582,TX,Delta,0,0,1,0,1,1
2583,TX,Denton,51,14,207,23,391,324
2584,TX,DeWitt,3,0,15,1,13,13
2585,TX,Dickens,1,0,4,0,3,3
2586,TX,Dimmit,2,0,8,0,7,4
2587,TX,Donley,1,0,4,0,4,3
2588,TX,Duval,3,0,9,0,4,5
2589,TX,Eastland,5,1,21,1,13,12
2590,TX,Ector,17,3,56,10,112,62
2591,TX,Edwards,1,0,2,0,2,1
2592,TX,Ellis,17,3,65,5,75,58
2593,TX,El Paso,111,11,240,44,506,464
2594,TX,Erath,7,1,19,4,33,29
2595,TX,Falls,2,0,10,1,7,7
2596,TX,Fannin,5,1,13,0,16,12
2597,TX,Fayette,6,0,28,4,22,27
2598,TX,Fisher,2,0,1,0,1,2
2599,TX,Floyd,2,0,2,0,6,5
2600,TX,Foard,1,0,1,0,1,2
2601,TX,Fort Bend,67,10,227,23,325,255
2602,TX,Franklin,1,0,4,0,6,4
2603,TX,Freestone,2,0,15,1,12,9
2604,TX,Frio,3,0,13,0,12,13
2605,TX,Gaines,4,0,8,1,9,12
2606,TX,Galveston,41,6,154,20,202,200
2607,TX,Garza,1,0,7,0,6,2
2608,TX,Gillespie,4,1,11,5,13,38
2609,TX,Glasscock,0,0,1,0,0,1
2610,TX,Goliad,1,0,5,0,4,5
2611,TX,Gonzales,3,0,14,1,17,7
2612,TX,Gray,3,1,13,0,15,13
2613,TX,Grayson,18,3,72,6,88,67
2614,TX,Gregg,17,5,91,7,125,83
2615,TX,Grimes,4,0,16,0,8,12
2616,TX,Guadalupe,9,2,60,4,65,43
2617,TX,Hale,5,1,15,0,21,25
2618,TX,Hall,2,0,4,0,3,6
2619,TX,Hamilton,4,0,3,2,7,5
2620,TX,Hansford,2,0,3,0,2,7
2621,TX,Hardeman,2,0,4,1,5,3
2622,TX,Hardin,6,2,36,2,36,16
2623,TX,Harris,719,51,1949,267,2738,2481
2624,TX,Harrison,10,1,41,1,38,30
2625,TX,Hartley,1,0,0,0,0,4
2626,TX,Haskell,2,0,4,0,4,6
2627,TX,Hays,14,3,48,4,104,94
2628,TX,Hemphill,1,0,5,0,2,5
2629,TX,Henderson,14,2,32,2,44,55
2630,TX,Hidalgo,63,10,301,44,338,349
2631,TX,Hill,7,1,31,1,21,18
2632,TX,Hockley,2,1,11,0,14,15
2633,TX,Hood,17,1,39,5,31,35
2634,TX,Hopkins,3,1,27,1,18,19
2635,TX,Houston,5,1,15,0,15,11
2636,TX,Howard,3,1,20,0,26,21
2637,TX,Hudspeth,1,0,4,0,1,3
2638,TX,Hunt,9,3,49,1,39,38
2639,TX,Hutchinson,4,0,15,1,19,15
2640,TX,Irion,1,0,1,0,0,1
2641,TX,Jack,2,0,8,0,7,7
2642,TX,Jackson,2,0,14,0,10,8
2643,TX,Jasper,6,1,22,6,19,17
2644,TX,Jeff Davis,1,0,2,0,0,2
2645,TX,Jefferson,48,4,177,20,156,130
2646,TX,Jim Hogg,4,0,4,0,3,2
2647,TX,Jim Wells,12,1,24,2,24,20
2648,TX,Johnson,16,2,66,3,92,61
2649,TX,Jones,3,0,9,1,7,4
2650,TX,Karnes,4,1,10,0,7,10
2651,TX,Kaufman,8,2,51,3,58,53
2652,TX,Kendall,2,1,21,3,27,33
2653,TX,Kenedy,0,0,0,0,0,0
2654,TX,Kent,1,0,0,0,0,1
2655,TX,Kerr,6,1,32,1,34,37
2656,TX,Kimble,2,0,10,1,2,7
2657,TX,King,0,0,0,0,0,0
2658,TX,Kinney,1,0,3,0,1,1
2659,TX,Kleberg,5,1,16,1,25,24
2660,TX,Knox,2,0,3,0,2,2
2661,TX,Lamar,6,1,30,3,29,32
2662,TX,Lamb,6,0,7,2,8,10
2663,TX,Lampasas,2,1,10,0,14,17
2664,TX,La Salle,2,0,5,0,2,3
2665,TX,Lavaca,4,0,13,3,5,7
2666,TX,Lee,4,0,13,3,11,19
2667,TX,Leon,7,0,13,0,9,10
2668,TX,Liberty,15,2,39,5,39,35
2669,TX,Limestone,6,1,22,1,15,16
2670,TX,Lipscomb,2,0,5,0,1,1
2671,TX,Live Oak,3,0,14,0,7,9
2672,TX,Llano,3,0,18,0,15,11
2673,TX,Loving,0,0,0,0,0,0
2674,TX,Lubbock,21,6,89,15,250,150
2675,TX,Lynn,1,0,2,0,3,3
2676,TX,McCulloch,2,0,7,1,5,9
2677,TX,McLennan,26,4,147,12,194,122
2678,TX,McMullen,0,0,2,0,0,1
2679,TX,Madison,2,0,9,0,10,9
2680,TX,Marion,2,0,9,1,7,6
2681,TX,Martin,1,0,2,0,2,1
2682,TX,Mason,2,0,4,0,5,5
2683,TX,Matagorda,3,1,37,4,23,27
2684,TX,Maverick,11,1,12,2,27,21
2685,TX,Medina,6,1,26,3,21,35
2686,TX,Menard,1,0,2,0,0,3
2687,TX,Midland,12,3,60,7,103,88
2688,TX,Milam,6,1,10,0,16,16
2689,TX,Mills,2,0,2,0,1,4
2690,TX,Mitchell,2,0,7,0,5,6
2691,TX,Montague,4,1,14,0,10,8
2692,TX,Montgomery,45,7,181,21,257,247
2693,TX,Moore,3,1,12,1,15,17
2694,TX,Morris,3,0,6,0,10,6
2695,TX,Motley,1,0,3,0,0,3
2696,TX,Nacogdoches,10,1,33,1,39,36
2697,TX,Navarro,8,1,30,4,27,21
2698,TX,Newton,4,0,15,0,0,4
2699,TX,Nolan,1,1,12,0,10,11
2700,TX,Nueces,21,3,182,25,272,265
2701,TX,Ochiltree,2,0,6,0,3,7
2702,TX,Oldham,2,0,3,0,1,2
2703,TX,Orange,12,1,57,3,57,35
2704,TX,Palo Pinto,8,1,27,0,21,27
2705,TX,Panola,4,0,18,1,10,6
2706,TX,Parker,8,2,54,8,72,55
2707,TX,Parmer,2,0,5,0,4,3
2708,TX,Pecos,5,0,17,1,7,14
2709,TX,Polk,7,1,14,0,19,21
2710,TX,Potter,15,3,61,6,110,110
2711,TX,Presidio,1,0,5,0,7,9
2712,TX,Rains,2,0,5,1,5,6
2713,TX,Randall,5,3,42,3,72,46
2714,TX,Reagan,1,0,3,0,2,2
2715,TX,Real,3,0,2,0,2,4
2716,TX,Red River,5,0,9,0,4,10
2717,TX,Reeves,2,0,7,0,5,8
2718,TX,Refugio,3,0,7,0,9,7
2719,TX,Roberts,1,0,1,0,0,1
2720,TX,Robertson,4,0,19,0,7,11
2721,TX,Rockwall,7,1,24,4,53,56
2722,TX,Runnels,3,0,9,1,6,8
2723,TX,Rusk,5,1,21,0,24,25
2724,TX,Sabine,3,0,7,0,3,5
2725,TX,San Augustine,1,0,6,0,2,4
2726,TX,San Jacinto,3,0,5,1,3,6
2727,TX,San Patricio,9,2,46,2,49,39
2728,TX,San Saba,5,0,7,1,4,4
2729,TX,Schleicher,1,0,2,1,0,2
2730,TX,Scurry,2,0,12,0,20,17
2731,TX,Shackelford,1,0,4,0,3,3
2732,TX,Shelby,5,1,10,0,5,14
2733,TX,Sherman,0,0,1,0,2,1
2734,TX,Smith,21,5,90,13,147,123
2735,TX,Somervell,3,0,10,0,7,9
2736,TX,Starr,10,1,26,4,25,14
2737,TX,Stephens,1,0,6,0,7,8
2738,TX,Sterling,1,0,0,0,1,3
2739,TX,Stonewall,2,0,2,0,1,1
2740,TX,Sutton,0,0,6,0,3,5
2741,TX,Swisher,1,0,4,0,4,6
2742,TX,Tarrant,222,39,805,73,1268,1004
2743,TX,Taylor,13,3,85,2,103,84
2744,TX,Terrell,0,0,2,0,1,1
2745,TX,Terry,1,0,6,0,10,8
2746,TX,Throckmorton,1,0,1,0,0,3
2747,TX,Titus,8,1,26,2,18,15
2748,TX,Tom Green,13,3,58,6,74,78
2749,TX,Travis,125,13,452,60,822,798
2750,TX,Trinity,2,0,7,0,6,7
2751,TX,Tyler,4,1,12,0,8,8
2752,TX,Upshur,3,1,17,2,14,16
2753,TX,Upton,1,0,6,0,4,5
2754,TX,Uvalde,2,1,20,1,17,27
2755,TX,Val Verde,3,1,21,6,29,26
2756,TX,Van Zandt,6,1,32,0,23,34
2757,TX,Victoria,8,2,60,4,66,56
2758,TX,Walker,6,1,36,1,28,33
2759,TX,Waller,5,0,24,4,13,11
2760,TX,Ward,2,0,9,0,11,9
2761,TX,Washington,5,1,22,2,29,25
2762,TX,Webb,46,3,98,14,141,121
2763,TX,Wharton,7,2,34,5,28,26
2764,TX,Wheeler,4,0,6,0,5,8
2765,TX,Wichita,13,4,51,7,100,103
2766,TX,Wilbarger,2,1,8,0,14,8
2767,TX,Willacy,1,1,11,3,7,8
2768,TX,Williamson,35,9,154,17,282,219
2769,TX,Wilson,5,0,19,1,15,25
2770,TX,Winkler,2,0,7,0,3,4
2771,TX,Wise,7,1,28,3,32,43
2772,TX,Wood,4,1,22,1,21,34
2773,TX,Yoakum,2,0,4,1,7,9
2774,TX,Young,3,1,12,1,17,14
2775,TX,Zapata,3,0,14,0,6,10
2776,TX,Zavala,3,0,7,0,6,4
2777,UT,Beaver,2,0,12,0,9,9
2778,UT,Box Elder,4,1,15,3,28,17
2779,UT,Cache,14,4,23,6,66,36
2780,UT,Carbon,5,1,11,1,14,12
2781,UT,Daggett,1,0,0,0,0,0
2782,UT,Davis,22,9,63,18,196,102
2783,UT,Duchesne,5,0,11,1,11,10
2784,UT,Emery,6,0,11,1,8,5
2785,UT,Garfield,2,0,9,0,9,9
2786,UT,Grand,3,0,6,1,10,25
2787,UT,Iron,5,1,21,1,35,31
2788,UT,Juab,1,0,7,0,8,5
2789,UT,Kane,2,0,10,0,5,17
2790,UT,Millard,5,0,11,1,13,5
2791,UT,Morgan,1,0,6,2,4,2
2792,UT,Piute,2,0,1,0,0,4
2793,UT,Rich,1,0,3,0,5,2
2794,UT,Salt Lake,139,22,269,54,789,559
2795,UT,San Juan,2,0,11,0,4,11
2796,UT,Sanpete,4,1,13,1,17,5
2797,UT,Sevier,4,1,12,1,13,14
2798,UT,Summit,14,0,14,2,35,88
2799,UT,Tooele,5,1,16,2,24,15
2800,UT,Uintah,2,1,15,1,18,16
2801,UT,Utah,47,12,96,24,320,163
2802,UT,Wasatch,5,0,7,0,13,11
2803,UT,Washington,16,4,43,13,109,84
2804,UT,Wayne,3,0,2,0,6,6
2805,UT,Weber,30,5,72,16,152,112
2806,VT,Addison,18,0,29,2,17,27
2807,VT,Bennington,12,0,36,3,26,61
2808,VT,Caledonia,14,0,31,4,11,29
2809,VT,Chittenden,40,1,91,14,110,157
2810,VT,Essex,3,0,4,0,1,6
2811,VT,Franklin,17,0,45,2,21,38
2812,VT,Grand Isle,3,0,10,0,2,5
2813,VT,Lamoille,9,0,23,3,14,36
2814,VT,Orange,8,0,27,1,8,21
2815,VT,Orleans,18,0,23,2,13,25
2816,VT,Rutland,21,0,64,5,47,84
2817,VT,Washington,25,0,55,12,25,71
2818,VT,Windham,19,0,41,9,40,79
2819,VT,Windsor,27,0,59,6,25,81
2820,VA,Accomack,10,0,32,4,21,37
2821,VA,Albemarle,25,1,49,3,53,61
2822,VA,Alleghany,3,1,11,0,10,8
2823,VA,Amelia,2,0,8,1,6,6
2824,VA,Amherst,5,1,20,0,17,18
2825,VA,Appomattox,3,0,9,0,4,7
2826,VA,Arlington,41,1,76,11,223,213
2827,VA,Augusta,11,0,38,2,23,27
2828,VA,Bath,1,0,6,0,1,4
2829,VA,Bedford,7,1,26,3,18,35
2830,VA,Bland,1,0,7,0,1,0
2831,VA,Botetourt,5,0,27,0,17,19
2832,VA,Brunswick,2,0,18,0,5,7
2833,VA,Buchanan,7,0,17,1,10,4
2834,VA,Buckingham,2,0,16,0,1,6
2835,VA,Campbell,9,1,39,4,24,19
2836,VA,Caroline,5,0,19,3,10,12
2837,VA,Carroll,2,0,27,3,9,10
2838,VA,Charles City,1,0,3,0,0,1
2839,VA,Charlotte,4,0,7,0,3,4
2840,VA,Chesterfield,45,6,127,14,200,194
2841,VA,Clarke,2,0,10,2,9,9
2842,VA,Craig,2,0,2,0,1,1
2843,VA,Culpeper,11,1,18,4,27,28
2844,VA,Cumberland,1,0,10,0,0,5
2845,VA,Dickenson,5,0,11,0,7,5
2846,VA,Dinwiddie,7,0,17,0,5,8
2847,VA,Essex,2,1,8,0,11,10
2848,VA,Fairfax,194,3,269,54,860,702
2849,VA,Fauquier,12,0,34,4,39,48
2850,VA,Floyd,4,0,8,1,7,8
2851,VA,Fluvanna,3,0,10,1,3,11
2852,VA,Franklin,6,1,34,2,28,26
2853,VA,Frederick,9,2,37,4,38,36
2854,VA,Giles,5,1,18,0,14,11
2855,VA,Gloucester,5,1,24,3,22,23
2856,VA,Goochland,2,0,16,0,8,14
2857,VA,Grayson,1,0,5,0,2,8
2858,VA,Greene,3,0,9,0,4,9
2859,VA,Greensville,0,0,13,0,2,0
2860,VA,Halifax,9,1,26,1,24,22
2861,VA,Hanover,16,3,50,5,70,66
2862,VA,Henrico,66,7,136,22,250,234
2863,VA,Henry,14,0,49,2,34,25
2864,VA,Highland,1,0,7,0,0,2
2865,VA,Isle of Wight,6,0,24,5,23,21
2866,VA,James City,10,0,22,2,35,47
2867,VA,King and Queen,0,0,5,0,0,1
2868,VA,King George,2,0,11,0,14,15
2869,VA,King William,2,0,10,1,6,9
2870,VA,Lancaster,6,1,17,1,9,18
2871,VA,Lee,6,1,23,0,6,9
2872,VA,Loudoun,50,4,78,19,219,208
2873,VA,Louisa,4,1,23,2,11,9
2874,VA,Lunenburg,3,0,5,0,4,4
2875,VA,Madison,4,0,7,0,6,3
2876,VA,Mathews,2,0,6,0,5,7
2877,VA,Mecklenburg,6,1,37,3,24,27
2878,VA,Middlesex,3,0,10,1,6,15
2879,VA,Montgomery,18,1,48,5,65,77
2880,VA,Nelson,4,0,16,0,7,7
2881,VA,New Kent,3,0,13,0,11,10
2882,VA,Northampton,4,0,13,5,12,14
2883,VA,Northumberland,3,0,11,1,4,11
2884,VA,Nottoway,4,1,17,0,9,13
2885,VA,Orange,4,0,21,2,17,17
2886,VA,Page,6,1,15,1,15,18
2887,VA,Patrick,6,1,14,1,9,8
2888,VA,Pittsylvania,10,0,41,1,15,18
2889,VA,Powhatan,3,0,14,1,10,14
2890,VA,Prince Edward,5,1,21,1,15,18
2891,VA,Prince George,3,0,15,2,6,7
2892,VA,Prince William,63,5,131,18,259,203
2893,VA,Pulaski,8,2,19,2,30,16
2894,VA,Rappahannock,3,0,4,0,2,4
2895,VA,Richmond,2,0,6,1,5,5
2896,VA,Roanoke,14,0,37,1,46,56
2897,VA,Rockbridge,3,1,20,2,11,15
2898,VA,Rockingham,11,1,31,7,30,29
2899,VA,Russell,5,1,20,0,18,14
2900,VA,Scott,5,0,26,0,12,6
2901,VA,Shenandoah,9,1,30,5,22,27
2902,VA,Smyth,6,0,23,3,23,16
2903,VA,Southampton,3,0,13,1,3,4
2904,VA,Spotsylvania,24,4,54,8,89,73
2905,VA,Stafford,9,1,44,2,72,59
2906,VA,Surry,3,0,5,1,1,2
2907,VA,Sussex,5,0,15,0,5,7
2908,VA,Tazewell,8,3,37,1,33,16
2909,VA,Warren,4,1,25,0,21,33
2910,VA,Washington,13,2,47,0,35,29
2911,VA,Westmoreland,5,0,9,5,5,18
2912,VA,Wise,12,0,38,1,30,19
2913,VA,Wythe,5,1,29,1,28,27
2914,VA,York,11,3,25,1,54,46
2915,VA,Alexandria,31,1,40,6,119,148
2916,VA,Bedford,2,0,11,0,15,9
2917,VA,Bristol,6,0,26,2,31,24
2918,VA,Buena Vista,0,0,3,0,5,5
2919,VA,Charlottesville,18,0,27,3,63,110
2920,VA,Chesapeake,27,6,102,11,194,154
2921,VA,Colonial Heights,2,2,13,1,37,28
2922,VA,Covington,1,0,10,0,11,8
2923,VA,Danville,16,2,42,2,55,54
2924,VA,Emporia,5,1,16,0,10,11
2925,VA,Fairfax,17,1,24,2,67,74
2926,VA,Falls Church,9,0,9,1,37,48
2927,VA,Franklin,3,1,11,0,13,9
2928,VA,Fredericksburg,12,1,20,3,39,76
2929,VA,Galax,4,1,8,0,12,17
2930,VA,Hampton,18,2,78,9,100,76
2931,VA,Harrisonburg,16,2,29,4,49,68
2932,VA,Hopewell,7,0,16,0,23,24
2933,VA,Lexington,5,0,1,2,11,14
2934,VA,Lynchburg,15,2,34,6,76,77
2935,VA,Manassas,16,0,21,7,47,44
2936,VA,Manassas Park,2,0,7,2,5,6
2937,VA,Martinsville,4,1,9,0,22,12
2938,VA,Newport News,34,3,100,12,136,129
2939,VA,Norfolk,42,5,124,23,214,200
2940,VA,Norton,2,1,5,1,12,9
2941,VA,Petersburg,13,1,34,2,27,24
2942,VA,Poquoson,3,0,4,2,9,11
2943,VA,Portsmouth,14,1,57,9,73,56
2944,VA,Radford,2,0,8,0,11,14
2945,VA,Richmond,60,1,131,16,177,225
2946,VA,Roanoke,28,3,61,7,94,122
2947,VA,Salem,7,1,21,1,34,23
2948,VA,Staunton,4,1,19,4,22,37
2949,VA,Suffolk,13,2,38,5,54,43
2950,VA,Virginia Beach,73,6,184,41,402,460
2951,VA,Waynesboro,8,1,16,0,20,26
2952,VA,Williamsburg,3,0,11,3,15,54
2953,VA,Winchester,11,1,18,5,49,51
2954,WA,Adams,6,1,9,0,10,12
2955,WA,Asotin,5,2,4,1,9,15
2956,WA,Benton,17,5,60,14,114,106
2957,WA,Chelan,20,1,30,16,57,80
2958,WA,Clallam,15,1,31,4,45,83
