,State,County,GroceryStores,SupercentersClubStores,ConvenienceStores,SpecializedFoodStores,FastFoodRestaurants,FullServiceRestaurants
1915,NC,Cumberland,46,6,155,12,240,187
1916,NC,Currituck,9,0,19,7,22,28
1917,NC,Dare,17,0,41,18,67,122
1918,NC,Davidson,32,2,94,8,70,110
1919,NC,Davie,4,1,20,1,21,24
1920,NC,Duplin,13,0,37,2,28,28
1921,NC,Durham,49,4,115,11,243,219
1922,NC,Edgecombe,11,1,39,3,29,18
1923,NC,Forsyth,65,7,177,20,244,280
1924,NC,Franklin,9,0,37,0,28,13
1925,NC,Gaston,30,5,117,5,144,120
1926,NC,Gates,2,0,7,2,1,4
1927,NC,Graham,2,0,6,0,4,4
1928,NC,Granville,9,0,40,0,33,19
1929,NC,Greene,2,0,14,0,5,4
1930,NC,Guilford,94,8,246,24,389,416
1931,NC,Halifax,22,1,49,4,43,32
1932,NC,Harnett,16,1,56,0,55,41
1933,NC,Haywood,10,0,44,3,38,63
1934,NC,Henderson,23,2,53,7,59,70
1935,NC,Hertford,7,0,18,4,14,12
1936,NC,Hoke,7,0,20,0,12,6
1937,NC,Hyde,1,0,6,3,1,12
1938,NC,Iredell,30,4,86,11,127,137
1939,NC,Jackson,8,1,22,4,26,41
1940,NC,Johnston,34,5,84,5,113,92
1941,NC,Jones,2,0,6,0,3,2
1942,NC,Lee,16,1,36,5,46,37
1943,NC,Lenoir,17,1,39,1,42,28
1944,NC,Lincoln,12,1,48,3,48,44
1945,NC,McDowell,9,0,32,4,22,25
1946,NC,Macon,8,0,23,2,27,48
1947,NC,Madison,3,0,6,1,8,11
1948,NC,Martin,5,0,17,3,17,14
1949,NC,Mecklenburg,187,12,314,59,723,846
1950,NC,Mitchell,2,1,7,0,11,16
1951,NC,Montgomery,4,1,19,0,14,15
1952,NC,Moore,16,1,43,4,45,88
1953,NC,Nash,21,3,83,4,80,65
1954,NC,New Hanover,41,4,89,19,183,245
1955,NC,Northampton,5,0,12,0,4,9
1956,NC,Onslow,20,3,65,9,116,91
1957,NC,Orange,21,1,43,8,88,125
1958,NC,Pamlico,4,0,6,1,9,8
1959,NC,Pasquotank,8,1,24,6,27,35
1960,NC,Pender,7,0,18,3,29,23
1961,NC,Perquimans,2,0,5,0,3,6
1962,NC,Person,6,1,30,0,28,13
1963,NC,Pitt,29,2,86,7,146,114
1964,NC,Polk,5,0,6,1,9,21
1965,NC,Randolph,22,2,70,11,73,77
1966,NC,Richmond,11,1,37,3,23,23
1967,NC,Robeson,27,3,82,3,73,60
1968,NC,Rockingham,16,3,69,2,52,59
1969,NC,Rowan,19,1,71,5,77,93
1970,NC,Rutherford,15,1,42,4,38,46
1971,NC,Sampson,12,1,32,2,32,27
1972,NC,Scotland,8,1,30,1,22,16
1973,NC,Stanly,12,2,28,7,42,44
1974,NC,Stokes,9,0,26,0,18,23
1975,NC,Surry,17,1,48,7,52,65
1976,NC,Swain,4,0,16,2,18,19
1977,NC,Transylvania,6,0,15,3,22,30
1978,NC,Tyrrell,2,0,4,0,0,1
1979,NC,Union,28,2,67,5,110,86
1980,NC,Vance,8,1,54,2,31,23
1981,NC,Wake,167,19,344,40,737,685
1982,NC,Warren,3,0,15,0,7,5
1983,NC,Washington,3,0,7,1,8,6
1984,NC,Watauga,10,0,23,3,39,68
1985,NC,Wayne,19,4,73,10,71,74
1986,NC,Wilkes,15,0,53,3,34,52
1987,NC,Wilson,18,1,51,5,58,52
1988,NC,Yadkin,9,0,23,1,19,29
1989,NC,Yancey,3,0,10,0,8,9
1990,ND,Adams,2,0,2,2,1,4
1991,ND,Barnes,4,0,5,0,7,15
1992,ND,Benson,2,0,2,1,0,5
1993,ND,Billings,0,0,2,0,1,4
1994,ND,Bottineau,3,1,7,2,4,14
1995,ND,Bowman,4,0,3,1,2,5
1996,ND,Burke,2,0,0,0,1,2
1997,ND,Burleigh,7,3,26,10,48,55
1998,ND,Cass,19,3,52,11,94,99
1999,ND,Cavalier,4,0,2,1,3,6
2000,ND,Dickey,4,0,3,0,3,6
2001,ND,Divide,1,0,0,0,0,5
2002,ND,Dunn,1,0,2,0,1,3
2003,ND,Eddy,1,0,1,0,0,2
2004,ND,Emmons,4,0,2,1,3,6
2005,ND,Foster,1,0,2,1,2,1
2006,ND,Golden Valley,1,0,1,0,3,1
2007,ND,Grand Forks,8,3,28,4,46,43
2008,ND,Grant,1,0,1,1,0,3
2009,ND,Griggs,0,0,1,0,2,6
2010,ND,Hettinger,3,0,3,0,1,2
2011,ND,Kidder,3,0,0,0,1,3
2012,ND,LaMoure,4,0,3,2,1,5
2013,ND,Logan,1,0,3,1,1,7
2014,ND,McHenry,3,0,1,0,0,4
2015,ND,McIntosh,2,0,1,0,1,5
2016,ND,McKenzie,2,0,4,0,1,5
2017,ND,McLean,2,0,9,0,1,14
2018,ND,Mercer,3,0,6,0,4,9
2019,ND,Morton,6,0,11,5,10,12
2020,ND,Mountrail,5,0,5,0,3,7
2021,ND,Nelson,4,0,4,0,1,3
2022,ND,Oliver,0,0,1,0,0,0
2023,ND,Pembina,5,0,5,0,5,7
2024,ND,Pierce,1,0,4,0,3,5
2025,ND,Ramsey,3,0,6,1,10,10
2026,ND,Ransom,2,0,6,0,1,6
2027,ND,Renville,2,0,1,0,1,3
2028,ND,Richland,4,1,9,0,10,13
2029,ND,Rolette,6,0,7,0,6,5
2030,ND,Sargent,4,0,2,0,1,5
2031,ND,Sheridan,1,0,1,0,0,3
2032,ND,Sioux,1,0,4,0,2,0
2033,ND,Slope,0,0,0,0,0,2
2034,ND,Stark,4,1,14,2,17,20
2035,ND,Steele,2,0,2,0,0,2
2036,ND,Stutsman,3,0,12,2,13,19
2037,ND,Towner,0,0,1,0,1,3
2038,ND,Traill,6,0,4,0,5,6
2039,ND,Walsh,7,0,7,2,5,13
2040,ND,Ward,9,1,22,6,34,43
2041,ND,Wells,6,0,3,0,3,9
2042,ND,Williams,5,1,16,2,19,11
2043,OH,Adams,5,1,18,1,14,10
2044,OH,Allen,14,3,47,3,101,53
2045,OH,Ashland,10,1,22,2,26,27
2046,OH,Ashtabula,19,2,46,11,73,74
2047,OH,Athens,12,1,25,1,62,31
2048,OH,Auglaize,12,1,16,2,38,26
2049,OH,Belmont,17,2,39,2,51,35
2050,OH,Brown,7,0,26,0,28,26
2051,OH,Butler,54,7,131,10,241,200
2052,OH,Carroll,4,0,7,4,17,13
2053,OH,Champaign,8,1,10,4,21,20
2054,OH,Clark,23,3,55,7,104,49
2055,OH,Clermont,21,7,79,10,118,103
2056,OH,Clinton,10,1,18,1,32,20
2057,OH,Columbiana,19,2,55,10,74,54
2058,OH,Coshocton,6,1,15,2,20,18
2059,OH,Crawford,8,1,20,3,34,22
2060,OH,Cuyahoga,317,8,504,140,1037,888
2061,OH,Darke,8,1,19,5,31,26
2062,OH,Defiance,5,3,21,3,24,28
2063,OH,Delaware,17,5,42,9,150,127
2064,OH,Erie,12,3,42,6,78,80
